date,stocks
20130911,1402000
20130910,1396000
20130909,1373000
20130906,1369000
20130905,1365000
20130904,1340000
20130903,1337000
20130902,1351000
20130830,1368000
20130829,1344000
20130828,1309000
20130827,1304000
20130826,1300000
20130823,1295000
20130822,1255000
20130821,1256000
20130820,1269000
20130819,1286000
20130816,1295000
20130814,1300000
20130813,1290000
20130812,1232000
20130809,1230000
20130808,1217000
20130807,1222000
20130806,1254000
20130805,1274000
20130802,1286000
20130801,1280000
20130731,1280000
20130730,1290000
20130729,1283000
20130726,1303000
20130725,1315000
20130724,1315000
20130723,1307000
20130722,1273000
20130719,1273000
20130718,1292000
20130717,1320000
20130716,1298000
20130715,1313000
20130712,1312000
20130711,1312000
20130710,1248000
20130709,1237000
20130708,1226000
20130705,1267000
20130704,1317000
20130703,1301000
20130702,1335000
20130701,1326000
20130628,1342000
20130627,1339000
20130626,1261000
20130625,1297000
20130624,1313000
20130621,1325000
20130620,1329000
20130619,1369000
20130618,1387000
20130617,1366000
20130614,1369000
20130613,1357000
20130612,1385000
20130611,1389000
20130610,1425000
20130607,1427000
20130605,1521000
20130604,1540000
20130603,1532000
20130531,1538000
20130530,1544000
20130529,1512000
20130528,1484000
20130527,1489000
20130524,1486000
20130523,1484000
20130522,1509000
20130521,1492000
20130520,1497000
20130516,1508000
20130515,1500000
20130514,1500000
20130513,1477000
20130510,1476000
20130509,1515000
20130508,1488000
20130507,1493000
20130506,1514000
20130503,1535000
20130502,1528000
20130430,1520000
20130429,1481000
20130426,1486000
20130425,1494000
20130424,1486000
20130423,1483000
20130422,1503000
20130419,1475000
20130418,1483000
20130417,1518000
20130416,1528000
20130415,1523000
20130412,1517000
20130411,1540000
20130410,1521000
20130409,1528000
20130408,1520000
20130405,1505000
20130404,1506000
20130403,1521000
20130402,1525000
20130401,1512000
20130329,1527000
20130328,1510000
20130327,1504000
20130326,1509000
20130325,1495000
20130322,1455000
20130321,1457000
20130320,1460000
20130319,1475000
20130318,1445000
20130315,1480000
20130314,1520000
20130313,1527000
20130312,1494000
20130311,1508000
20130308,1499000
20130307,1520000
20130306,1560000
20130305,1550000
20130304,1539000
20130228,1544000
20130227,1527000
20130226,1527000
20130225,1530000
20130222,1530000
20130221,1550000
20130220,1545000
20130219,1492000
20130218,1490000
20130215,1498000
20130214,1490000
20130213,1487000
20130212,1468000
20130208,1462000
20130207,1420000
20130206,1427000
20130205,1435000
20130204,1437000
20130201,1441000
20130131,1448000
20130130,1440000
20130129,1409000
20130128,1372000
20130125,1417000
20130124,1453000
20130123,1473000
20130122,1480000
20130121,1454000
20130118,1480000
20130117,1469000
20130116,1492000
20130115,1512000
20130114,1552000
20130111,1533000
20130110,1530000
20130109,1500000
20130108,1500000
20130107,1520000
20130104,1525000
20130103,1543000
20130102,1576000
20121228,1522000
20121227,1496000
20121226,1470000
20121224,1474000
20121221,1442000
20121220,1503000
20121218,1515000
20121217,1503000
20121214,1515000
20121213,1533000
20121212,1490000
20121211,1476000
20121210,1491000
20121207,1480000
20121206,1454000
20121205,1455000
20121204,1430000
20121203,1430000
20121130,1406000
20121129,1414000
20121128,1413000
20121127,1416000
20121126,1404000
20121123,1437000
20121122,1417000
20121121,1384000
20121120,1364000
20121119,1332000
20121116,1307000
20121115,1331000
20121114,1355000
20121113,1349000
20121112,1345000
20121109,1341000
20121108,1350000
20121107,1362000
20121106,1349000
20121105,1341000
20121102,1327000
20121101,1297000
20121031,1310000
20121030,1298000
20121029,1299000
20121026,1287000
20121025,1322000
20121024,1300000
20121023,1313000
20121022,1315000
20121019,1302000
20121018,1337000
20121017,1336000
20121016,1330000
20121015,1300000
20121012,1296000
20121011,1304000
20121010,1325000
20121009,1372000
20121008,1373000
20121005,1370000
20121004,1367000
20121002,1369000
20120928,1346000
20120927,1338000
20120926,1325000
20120925,1327000
20120924,1327000
20120921,1302000
20120920,1287000
20120919,1314000
20120918,1315000
20120917,1315000
20120914,1336000
20120913,1301000
20120912,1294000
20120911,1256000
20120910,1250000
20120907,1250000
20120906,1196000
20120905,1189000
20120904,1218000
20120903,1218000
20120831,1233000
20120830,1215000
20120829,1230000
20120828,1195000
20120827,1180000
20120824,1275000
20120823,1287000
20120822,1264000
20120821,1282000
20120820,1283000
20120817,1295000
20120816,1345000
20120814,1345000
20120813,1325000
20120810,1348000
20120809,1340000
20120808,1320000
20120807,1294000
20120806,1298000
20120803,1243000
20120802,1263000
20120801,1300000
20120731,1309000
20120730,1275000
20120727,1233000
20120726,1172000
20120725,1158000
20120724,1170000
20120723,1162000
20120720,1191000
20120719,1195000
20120718,1154000
20120717,1168000
20120716,1152000
20120713,1139000
20120712,1091000
20120711,1118000
20120710,1127000
20120709,1126000
20120706,1161000
20120705,1185000
20120704,1191000
20120703,1175000
20120702,1174000
20120629,1201000
20120628,1168000
20120627,1167000
20120626,1139000
20120625,1132000
20120622,1182000
20120621,1227000
20120620,1252000
20120619,1244000
20120618,1243000
20120615,1217000
20120614,1261000
20120613,1271000
20120612,1255000
20120611,1268000
20120608,1247000
20120607,1265000
20120605,1203000
20120604,1196000
20120601,1233000
20120531,1211000
20120530,1226000
20120529,1238000
20120525,1225000
20120524,1225000
20120523,1221000
20120522,1240000
20120521,1209000
20120518,1166000
20120517,1223000
20120516,1230000
20120515,1311000
20120514,1314000
20120511,1303000
20120510,1327000
20120509,1331000
20120508,1341000
20120507,1342000
20120504,1360000
20120503,1401000
20120502,1410000
20120430,1390000
20120427,1374000
20120426,1340000
20120425,1305000
20120424,1283000
20120423,1279000
20120420,1282000
20120419,1307000
20120418,1293000
20120417,1249000
20120416,1259000
20120413,1268000
20120412,1273000
20120410,1311000
20120409,1317000
20120406,1332000
20120405,1330000
20120404,1320000
20120403,1335000
20120402,1299000
20120330,1275000
20120329,1280000
20120328,1302000
20120327,1311000
20120326,1275000
20120323,1261000
20120322,1258000
20120321,1242000
20120320,1267000
20120319,1260000
20120316,1238000
20120315,1250000
20120314,1250000
20120313,1221000
20120312,1210000
20120309,1230000
20120308,1180000
20120307,1172000
20120306,1180000
20120305,1174000
20120302,1182000
20120229,1206000
20120228,1185000
20120227,1171000
20120224,1180000
20120223,1160000
20120222,1197000
20120221,1180000
20120220,1175000
20120217,1176000
20120216,1135000
20120215,1135000
20120214,1080000
20120213,1083000
20120210,1062000
20120209,1084000
20120208,1092000
20120207,1093000
20120206,1074000
20120203,1066000
20120202,1080000
20120201,1079000
20120131,1107000
20120130,1115000
20120127,1125000
20120126,1113000
20120125,1114000
20120120,1105000
20120119,1072000
20120118,1030000
20120117,1036000
20120116,1030000
20120113,1046000
20120112,1028000
20120111,1021000
20120110,1026000
20120109,1016000
20120106,1040000
20120105,1055000
20120104,1080000
20120103,1105000
20120102,1080000
